時間	構文	例文	日本語
1:59	Then again...	Then again, that's kind of his thing.	そうは言っても
1:59	That's kind of [人]'s thing.	...that's kind of his thing.	それは[人]のいつものやつだ
2:07	[主語] has to be [名詞/形容詞]	He has to be.	[主語]は絶対に[名詞/形容詞]だ
2:12	pick up [信号/気配]	Does your nerd alert pick up anything?	[信号/気配]を感知する
2:18	I don't even know if [主語+動詞]	I don't even know if Miyamura has...	[主語が〜する]かどうかすら分からない
2:20	gotta [動詞]	Gotta run.	[動詞]しなきゃ
2:24	It feels like [主語+動詞]	It feels like she hurries home every day.	[主語が〜している]気がする
2:28	[名詞] or something	Must be a boyfriend or something.	[名詞]か何か
2:31	way [形容詞]	Well, she's way popular.	めちゃくちゃ[形容詞]だ
2:54	Got it.	Got it.	了解
2:55	I'll handle [モノ/事]	I'll handle dinner.	[モノ/事]は私が処理するよ
2:57	[モノ/事] sucks.	Overtime sucks, I know.	[モノ/事]は最悪だ
3:03	should probably get going	I should probably get going.	そろそろ行かなくちゃ
3:07	have been [動詞ing]	We've been waiting for you.	ずっと[動詞]し続けている
3:07	wait for [人/モノ]	We've been waiting for you.	[人/モノ]を待つ
3:16	hit up [場所/人]	Let's hit up that store...	[場所/人]に行く・連絡する
3:16	while [主語+動詞]	...while we're here.	[主語]が[動詞]している間に
3:19	Why not?	Why not?	いいじゃない
5:00	on [人]'s day off	...working on her day off.	[人]の休日に
5:03	too [形容詞] for [人]'s own good	...she's too nice for her own good.	[形容詞]すぎて本人のためにならない
5:07	I wish [主語] would [動詞]	I wish she'd learn how to...	[主語]が[動詞]してくれたらいいのに
5:07	say [言葉] to [人]	...how to say no to people.	[人]に[言葉]を言う
5:18	[モノ/事] happen to [人]	...what happened to your little nose?	[人]に[モノ/事]が起こる
5:21	fall down	I fell down.	転ぶ
5:29	have / get [モノ/事] taken care of	...since you've got it taken care of.	[モノ/事]を片付けてもらう
5:34	cause [人] trouble	Hope he didn't cause you too much trouble.	[人]に迷惑をかける
5:45	be in a hurry	...if you're not in any sort of hurry...	急いでいる
5:45	any sort of [名詞]	...if you're not in any sort of hurry...	何らかの[名詞]
5:48	more than [形容詞]	...you're more than welcome to stay...	十分に[形容詞]だ
5:48	for a while	...to stay for a while.	しばらくの間
5:52	[人]'s way of [動名詞ing]	This will be my way of saying thanks.	[人]なりの[動詞]する方法
5:56	[主語] spook [人]	...because this dog spooked him.	[主語]が[人]を驚かせる
5:59	I appreciate [人] [動名詞ing]	I appreciate you helping him out.	[人]が[動詞]してくれて感謝する
5:59	help [人] out	...helping him out.	[人]を助ける
6:01	appreciate [人] for [名詞/動名詞]	...I appreciate you for treating me.	[人]の[名詞/動名詞]に感謝する
6:03	Why do you [動詞] if [主語+動詞]?	Why do you drink coffee if it tastes so gross?	[主語が〜]なら、なぜ[動詞]するの？
6:06	ask myself the same thing	I ask myself the same thing.	自分でもそう思ってる
6:09	introduce [自分]	He introduced himself...	自己紹介する
6:09	[言葉/行動] and everything	He introduced himself and everything.	[言葉/行動]やら何やらすべて
6:12	That's nice of [人] to [動詞]	That's nice of you to say.	[人]が[動詞]してくれて優しい
6:12	a real handful	He's a real handful...	本当に手に負えない
6:17	[主語] is what's really [形容詞]	...housework is what's really impressive.	[主語]こそが本当に[形容詞]なことだ
6:21	Never would have guessed.	Never would have guessed, Hori.	全く予想もつかなかった
6:28	How'd you know that?	...how'd you know that?	なんでそれ知ってるの？
6:32	the same [名詞] as [人/モノ]	...the same school as me?	[人/モノ]と同じ[名詞]
6:36	Are you being [形容詞] right now?	Are you being serious right now?	今[形容詞]な態度をとってるの？
6:48	That can't be [人/モノ].	That can't be the same person.	それが[人/モノ]なはずがない
6:50	[主語] doesn't make sense anymore	...the world doesn't make sense anymore.	[主語]がもう意味をなさない
6:52	one of the [最上級] [複数名詞]	...one of the weirdest faces...	最も[形容詞]な[名詞]の一つ
6:52	in the history of [名詞]	...in the history of weird faces.	[名詞]の歴史の中で
7:07	Got a sec?	Miyamura, got a sec?	ちょっと時間ある？
7:11	come over to [場所]	...come over to your house again?	[場所]へ遊びに来る
7:17	save [人] from [モノ/事]	...saved him from the dog...	[人]を[モノ/事]から救う
7:22	pick up [モノ]	I'll pick up a picture book...	[モノ]を買ってくる
7:24	[主語] will be enough	...showing up will be enough...	[主語]で十分だ
7:28	What a relief!	What a relief.	ホッとした
7:28	break [人]'s heart	...break Sota's heart.	[人]をひどく傷つける
7:37	the fact that [主語+動詞]	By the fact that you sought me out...	[主語が〜する]という事実
7:37	seek [人] out	...you sought me out...	[人]を探し出す
7:39	after [過去の事/日] and all	...after yesterday and all.	[過去の事/日]もあった後で
7:41	for sure	...I thought for sure you'd avoid me.	間違いなく
7:44	that way	...react that way?	そんな風に
7:51	It freaks [人] out to [動詞]	It freaked me out to see...	[動詞]して[人]はびっくりする
7:51	a different side of [人]	...a different side of you...	[人]の意外な一面
7:54	out of [場所]	...out of school, too.	[場所]の外で
7:56	a silly reason	...a pretty silly reason...	くだらない理由
7:56	straight up [動詞]	...to straight up avoid you.	あからさまに[動詞]する
8:02	be not used to [動名詞/名詞]	I'm just not used to hearing...	[動名詞/名詞]に慣れていない
8:12	What's with [モノ/事]?	What's with the look?	[モノ/事]は一体どうしたの？
8:14	notice how [主語+動詞]	I just noticed how nice your smile is.	[主語が〜であるか]に気づく
8:16	wear [髪] up	You should wear your hair up...	[髪]をアップにする
8:16	more often	...more often.	もっと頻繁に
8:16	lose [モノ]	Maybe lose the glasses, too.	[モノ]を外す
8:19	Don't you think?	Don't you think?	そう思わない？
8:24	quite a few	You do have quite a few.	かなりの数
8:24	What's the grand total?	So what's the grand total?	合計でいくつ（いくら）？
8:27	up to [数値]	It's up to nine.	最大で[数値]まで
8:27	along with [モノ/人]	...along with the one on my lip.	[モノ/人]と一緒に
8:33	agree with [人]	My mom would agree with you.	[人]に同意する
8:40	be into [モノ/事]	...I'm not into that moe nonsense.	[モノ/事]にハマっている
8:51	like you wouldn't believe	...hurt like you wouldn't believe.	信じられないほど（〜だ）
8:54	back in [過去の時期]	...back in middle school.	[過去の時期]の頃に
9:04	a straight-A [名詞]	...You're like a straight-A queen.	成績がオールAの[名詞]
9:09	What's incredible is [主語+動詞]	What's incredible is how a quiet guy...	驚きなのは[主語が〜する]ことだ
9:12	Is that the rule?	Is that the rule?	それがルールなの？
9:17	[人]'s initial impression of [人/モノ]	my initial impression of him	[人]が[人/モノ]に抱いた第一印象
9:18	couldn't have been further from [名詞/実態]	...couldn't have been further from the person...	[名詞/実態]とは全く違っていた
9:24	[モノ] is on sale	Eggs are on sale tomorrow...	[モノ]がセール中だ
9:39	[事/モノ] lasts till [時間]	...only lasts till 4:00 p.m.	[事/モノ]が[時間]まで続く
9:42	I've got this.	I mean, I've got this.	私に任せて
9:43	stand in [人]'s way	Nothing's gonna stand in my way...	[人]の行く手を阻む
9:47	What are the odds?	But what are the odds?	まさかそんなことがあるなんて
9:51	report to [場所]	All committee members please report to...	[場所]に集合する
9:54	be called in for [名詞]	You're being called for an emergency meeting.	[名詞]のために呼び出される
