ドイツ語例文,日本語訳
Der Vortrag erregte bei vielen Zuhörern Anstoß.,その講演は多くの聴衆を不快にさせた。
Die Teilnehmer nahmen Anstoß an seinem Benehmen.,参加者は彼の態度を不快に思った。
Sie nimmt an der Politik regen Anteil.,彼女は政治に積極的な関心を抱いている。
Ihre Erfindungen konnten mit Erfolg in Anwendung gebracht werden.,彼らの発明はうまく実用化されることができた。
Einen so schweren Betrug sollte man zur Anzeige bringen.,そのような悪質な詐欺は警察に訴えるべきだ。
Sie gingen Arm in Arm auf der Straße.,彼らは腕を組んで通りを歩いて行った。
Seine Kollegen nahmen ihn oft auf den Arm.,彼の同僚は彼をよくからかった。
Beim 100-Meterlauf kam ich schon nach 80 Metern außer Atem.,100メートル競争で私はもう80メートルほどで息が切れた。
Ich teile mit ihm das Auf und Ab des Lebens.,私は彼と人生の浮き沈みを共にしてきた。
"Er machte mich darauf aufmerksam, dass ich meine Tasche im Restaurant hatte liegen lassen.",彼は私にレストランでバッグを置き忘れたことを気づかせてくれた。
Auch Japaner sind langsam auf die Umweltprobleme aufmerksam geworden.,日本人も次第に環境問題に注意を向け始めた。
Er hat ein Auge für Kunstgegenstände.,彼は美術品を見る目がある。
Ich möchte mit Ihnen unter vier Augen sprechen.,私はあなたと二人だけで話がしたい。
"Als sie den Mann sah, machte sie große Augen.",その男を見たとき、彼女は目を丸くした。
Die Gäste können jeden Augenblick kommen.,今にもゲストが来るかもしれない。
Ich bin im Augenblick sehr beschäftigt und kann dir nicht helfen.,私は今とても忙しくて君を手伝うことができない。
Willst du ihr heute einen Heiratsantrag machen? Ich drückte dir die Daumen!,きょう彼女にプロポーズするつもりなのか？成功を祈るよ。
Das steht nicht zur Debatte.,それは議論の対象外だ。
"Er kommt bestimmt, es sei denn, dass er krank ist.",病気でもない限り彼はきっと来る。
Von ihrem letzten Unfall haben sie in allen Details erzählt.,この前の事故について彼らは詳細に物語った。
Sie musste von ihrem Erlebnis bis ins kleinste Detail berichten.,彼女は体験したことを細大漏らさず報告しなければならなかった。
"Auf gut Deutsch gesagt, ist alles falsch, was Sie gesagt haben.",率直に言えば、あなたが言ったことはすべて間違っている。
Sie ist immer guter Dinge.,彼女はいつも機嫌がいい。
Vor allen Dingen musst du auf die Gesundheit achten!,何よりもまず健康に留意しなさい。
Ich möchte heute die Trennung des Mülls zur Diskussion stellen.,今日はゴミの分別について討論してほしいと思います。
In der Firma steht das neue Projekt zur Diskussion.,会社では新しいプロジェクトが問題にされている。
Sie haben die Preisrichter unter Druck gesetzt.,かれらは審査員に圧力をかけてきた。
Das Obst ist durch und durch verfault.,果物は完全に腐っている。
Ich gehe im Durchschnitt dreimalmonatlich ins Kino.,私は平均して月に3回映画に行く。
Die begeisterten Anhänger stürmten in Dutzenden auf den Spieler.,熱狂的なファンが大挙してその選手に殺到した。
Er ist immer in Eile.,彼はいつも急いでいる。
Ich habe es mit der Arbeit sehr eilig.,わたしはその仕事をとても急いでいる。
"Zum einen habe ich kein Geld, und zum anderen auch keine Lust, in die Ferien zu fahren.",休暇旅行に出かけるには第一お金もないし、次にその気もない。
Die Stadt machte auf uns alle einen guten Eindruck.,その町は私たちみんなに良い印象を与えた。
Der Präsident übt keinen Einfluss mehr auf die Firma aus.,会長は会社に対してもはや影響力はない。
Auf einmal fing es an zu regnen.,急に雨が降り出した。
Iss doch nicht alles auf einmal!,一度に全部を口に入れてはいけません。
Er hat uns nicht einmal gegrüßt.,彼は私たちに会釈すらしなかった。
Die Ursache des Unfalls muss im Einzelnen geklärt werden.,事故の原因は個々に解明されねばならない。
In seinem Aufsatz geht er über das Projekt ins Einzelne.,彼は論文の中でこのもんだいについて細部に渡り検討している。
"Die Nachbarin bat mich, ein Paket für sie in Empfang zu nehmen.",隣人の女性は私に小包を代わりに受け取ってくれるよう頼んだ。
Der Ministerpräsident nahm am Flughafen den Präsidenten in Empfang.,首相が大統領を空港で出迎えた。
Letzten Endes musst du dich selber entscheiden.,結局はきみが自分で決めなければならない。
Er war völlig am Ende.,彼はすっかり疲れ果てている。
Die Sache kam endlich zur Entscheidung.,事はようやく決定の運びとなった。
Meines Erachtens ist diese Rechnung falsch.,私はこの勘定は間違っていると思う。
Ich konnte endlich seine Adresse in Erfahrung bringen.,私はついにかれの住所を知ることができた。
Unser Versuch blieb leider ohne Erfolg.,私たちの実験は残念ながら不成功に終わった。
"Ich hoffe, dass mein Traum von einer Weltreise in Erfüllung geht.",sich erfüllen
Zur Erinnerung an unsere gemeinsame Reise schenke ich Ihnen dieses Fotoalubum.,一緒に旅行した思い出にあなたにこの写真アルバムをプレゼントします。
"Ich möchte Ihnen in Erinnerung bringen, dass hier Parken verboten ist.",ここは駐車禁止であることをご注意申し上げます。
Meinst du das im Ernst?,君は本気でそう思っているのか？
Sein Name wird in der Geschichte auf ewig bleiben.,彼の名は歴史に永遠に残るだろう。
Auf jeden Fall rufe ich Sie morgen an.,いずれにしても私は明日あなたにお電話します。
"Es wird Zeit, dass er endlich Farbe bekennt.",ついに彼が立場をはっきりさせる時が来た。
Bitte beruhigen Sie sich doch. Sie sind ja völlig außer Fassung.,どうぞ落ち着いてください。すっかり混乱されているようですから。
"Ich weiß nicht, was ihn aus der Fassung gebracht hat.",何が彼を狼狽させたのかわからない。
Man darf nicht immer auf eigene Faust handeln.,いつも自分勝手な行動をとってはいけない。
Mit diesem Problemen wurde sie lange nicht fertig.,この問題を彼女は長く解決できなかった。
Er ist immer sofort fuur alles Feuer und Flamme.,彼はいつもすぐに何にでも夢中になる。
"Ich mag nicht, wenn mein Chef mir auf die Finger sieht.",課長が私を監視するのは嫌だ。
Sie haben sich in den Finger geschnitten.,彼らは思い違いをした。
Ein großer Fisch wurde endlich geschnappt.,大物がようやく捕らえられた。
Nach dem Stadtmarathon waren die Läufer fix und fertig.,市民マラソンの後、ランナーは疲れ果てていた。
"Jeder freut sich, wenn er zwei Fliegen mit einer Klappe schlagen kann.",一石二鳥なら誰もが喜ぶ。
Er kam im letzten Augenblick.,彼は時間ギリギリにやってきた。
Das Buch brachte das Interesse des Autors am 1. Weltkrieg deutlich zum Ausdruck.,この本は著書の第一次世界大戦への関心をはっきりと表している。
Eine Krise kommt zum Ausdruck.,危機があらわになる。
Dem Aussehen nach geht es ihm gut.,見たところ、彼は元気なようだ。
Nach außen hin wirkte er ganz ruhig.,外見からは彼は落ち着き払っているように見えた。
Vor Zorn war ich außer mir.,怒りのあまり、私は我を忘れていた。
Vor der Eintrittsprüfung waren die Schüler aufs Äußerste aufgeregt.,入学試験を前にして生徒たちは極めて興奮していた。
Sie hat eine neue Stellung in Aussicht.,彼女は新しい職に就けそうだ。
Dieses Jahr steht eine gute Ernte in Aussicht.,今年は良い収穫が見込まれている。
Ich muss den langen Text auswendig lernen.,私はその長いセリフを暗記しなければならない。
"Nicht alles, was in der Zeitung steht, kann man für bare Münze nehmen.",新聞に載っていることを全て真に受けることはできない。
"Eine Privatschule muss darauf bedacht sein, Skandalen aus dem Weg zu gehen.",私立学校はスキャンダルを避けることに留意しなければならない。
Der Ministerpräsident antwortete mit Bedacht auf die Fragen der Journalisten.,首相は記者たちの質問に慎重に答えた。
Er gab ohne Bedacht sein Jawort.,彼は軽々しく承諾してしまった。
Bei Bedarf können Sie nach dem Zimmerservice rufen.,必要の際にはあなたはルームサービスを呼ぶことができる。
Sie können nach Bedarf ein Darlehen aufnehmen.,必要に応じて融資を受けることができます。
"Zu meinem Bedauern muss ich Ihnen mitteilen, dass eine Umbuchung meiner Reservierung erforderlich ist.",申しわけありませんが、予約を変更せざるをえないことをお知らせいたします。
Trotz aller Warnungen sprang der Junge ohne Bedenken ins Wasser.,あらゆる警告を無視してその少年はためらうことなく水に飛び込んだ。
"Ich war gerade im Begriff, das Zimmer zu verlassen.",私はちょうど部屋を出ようとしていたところだった。
Dieser Name ist mir kein Begriff.,この名前は聞いたことがない。
Das Fest wurde von den Studenten auf die Beine gestellt.,そのお祭りは学生たちの力によって実現した。
Die Opposition stellte ihm ein Bein.,反対派が彼を陥れた。
Wir müssen uns langsam auf die Beine machen.,私たちはそろそろ出かけなければならない。
Darf ich Sie mit Herrn Schmidt bekannt machen?,シュミットさんをご紹介いたします。
Die Firma machte den Angestellten mit den neuen Geschäftsordnungen bekannt.,会社は社員に新しい職務規定を通達した。
Das ist für uns ohne Belang.,それは私たちにとって重要ではない。
Der Kranke ist über den Berg.,病人は峠を越した。
In Berlin ist der Täter vielleicht mit ihm in Berührung gekommen.,ベルリンで多分犯人は彼と接触した。
"Ich gebe Ihnen Bescheid, wenn ich in der Stadt ankomme.",町に着いたらおしらせします。
"Sagen Sie mir bitte Bescheid, wenn Sie mit der Arbeit fertig sind!",仕事が済んだらおしらせください。
Wissen Sie in dieser Stadt Bescheid?,あなたはこの町に詳しいですか？
Er ergriff von den Spenden Besitz.,彼は寄付金を自分のものにしてしまった。
Die Fabrik ist außer Betrieb.,その工場は操業していない。
Die Maschine ist immer noch nicht in Betrieb.,その機械はいまだに用いられていない。
Der Aufzug wurde erst gestern in Betrieb genommen.,エレベーターは昨日動き始めたばかりだ。
Er konnte den Motor in Bewegung setzen.,彼はそのエンジンを動かすことができた。
Der Zug setzte sich in Bewegung.,列車は動き出した。
Zum Beweis der Dankbarkeit wurde ein Auto geschenkt.,感謝のしるしとして車が贈られた。
Ihr Austritt aus der Partei steht mit dem Gespräch in der letzten Woche in Beziehung.,彼女の党からの退会は先週の話し合いと関わりがある。
Den Rücktritt des Trainers kann man nicht zur Niederlage in der Vorrunde in Beziehung setzen.,監督の辞任と一次予選での敗北を関連づけるわけにはいかない。
Das Auto ist in jeder Beziehung zu empfehlen.,この車はあらゆる点で推薦できる。
In Bezug auf den neuen Plan haben wir noch nichts vom Abteilungsleiter erfahren.,この新しい計画に関して私たちは部長からまだ何も聞いていない。
"Bezug nehmend auf Ihr Schreiben vom 10. April teile ich Ihnen mit, dass ich an der Nächsten Hauptversammlung nicht teilnehmen kann.",4月10日付の貴信に関して、次の株主総会には出席できない旨ご連絡いたします。
Wie vom Blitz getroffen stand er da.,彼は呆然自失してそこに立ち尽くしていた。
Die Wirtschaft in Japan stand damals in voller Blüte.,日本経済は当時最盛期にあった。
Auch in Japan gewann die Umweltschutzbewegung allmählich an Boden.,日本でも環境保護運動が徐々に浸透していった。
Diese Partei hat schon längst an Boden verloren.,この政党はとっくに力を失っている。
Wir sitzen in einem Boot.,私達は運命を共にしている。
Der Mann steckte das Haus des Bürgermeisters in Brand.,その男は市長の家に放火した。
Das kann auf die Dauer nicht so weitergehen.,いつまでもそうはいかないだろう。
Die Ferien vergehen immer wie im Fluge.,休暇はいつも飛ぶように過ぎてしまう。
Sie werden deinem Befehl gern Folge leisten.,彼らは君の命令には喜んで従うだろう。
"Dies hatte zur Folge, dass er aus der Firma ausscheidet.",これで彼は会社を辞めるはめになった。
Ich werde die Regel in der Folge schon beachten.,今後は規則をちゃんと守ります。
Schreiben Sie bitte wie folgt!,次のように書いてください。
Nach dem Urlaub war er wieder gut in Form.,休暇の後彼はまた調子を取り戻した。
Am liebsten arbeite ich in einem fort. [*am liebsten: gernの最上級。gern-lieber-am liebsten）,私はぶっ通しで働くのが一番良い。
"Es ist keine Frage, dass ich Ihnen dabei helfe.",その際あなたを助けることは言うまでもない。
"Es steht außer Frage, dass der Fahrer an dem Unfall schuld.",運転手にその事故の責任があるのは言うまでもない。
Für diesen Posten kommt nur sie in Frage.,eine Option darstellen; geeignet sein
Diese teure Uhr kommt für mich nicht in Frage.,こんなに高い時計なんか問題外だ。
Er muss jeden Tag in aller Frühe arbeiten.,彼は毎日早朝に働かねばならない。
Früher oder später wirst du das Projekt betreuen.,遅かれ早かれ、君はそのプロジェクトを担当することになるだろう。
Aschenputtel musste von früh bis spät arbeiten.,シンデレラは朝早くから夜遅くまで働かねばならなかった。
"Du kannst mit Fug und Recht behaupten, dass du der Beste in der Klasse bist. [*der Beste: gutの最上級に名詞的用法]",君はクラスで一番であると胸を張って主張できる。
Damals stand er bereits auf eigenen Füßen.,当時彼はすでに自立していた。
"Ich frage mich, ob mein Sohn jemals auf eigenen Beinen stehen wird. [*sich frage: 疑問に思う]",私の息子はいつかは自立できるのだろうかと疑問に思っている。
Die Firma hat Finanzschwierigkeiten und steht auf schwachen Füßen.,その会社は経営が苦しく足元が揺らいでいた。
Er geht zu Fuß zur Schule.,彼は歩いて学校へ行く。
Er kommt sofort den Motor in Gang bringen.,彼はすぐにエンジンを動かすことができた。
Unsere gemeinsame Arbeit kam gut in Gang.,われわれの共同作業は順調に進んだ。
Die Maschine ist schon in Gang.,その機械はすでに作動していた。
Das ist ganz und gar falsch.,これは完全に間違っている。
An der Party haben im Ganzen etwa zweihundert Studenten teilgenommen.,全部で約200名の学生がそのパーティに参加した。
Er ist zum Musiker geboren.,彼は生まれながらの音楽家だ。
Ich mache gern von deiner Hilfe Gebrauch.,喜んで君の援助を受けよう。
Diese Wendungen sind längst außer Gebrauch gekommen.,これらの言い回しはとっくに用いられなくなっている。
Das neue Zimmer ist bereits in Gebrauch.,その新しい部屋はすでに使われている。
Ich habe unseren Hochzeitstag immer noch gut im Gedächtnis.,私たちの結婚式の日のことは今でもよく覚えています。
Der Zigarrenduft rief ihm das Arbeitszimmer seines Vaters ins Gedächtnis zurück.,その葉巻の香りは彼に父親の書斎を思い出させた。
Er macht sich über seine Zukunft Gedanken.,彼は将来のことについてよく考えてみた。
Das Essen meiner Frau ist immer ein Gedicht.,妻の料理はいつも美味しい。
Betreten der Baustelle auf eigene Gefahr!,工事現場への立ち入りには責任を負いません！[*掲示などでよく見かける表現]
Kannst du mir einen Gefallen tun?,君にお願いがあるんだけど。
Er fand an ihr Gefallen.,彼は彼女が気に入った。
Ich bin auf das Schlimmste gefasst. [*das Schlimmste: schlimmの最上級schlimmstの名詞的用法],私は最悪の場合の覚悟ができている。
Im Gegensatz zu meinem Vater sieht meine Mutter jünger aus.,父とは逆に母は年より若く見える。
"Sie ist nicht faul, ganz im Gegenteil.",彼女は怠け者なんかではない。全くその反対だ。
Wie könnt ihr euch in Gegenwart des Bischofs so respektlos benehmen?,どうしておまえたちは司教の目の前でそんな無礼な振る舞いができるのか？
Er hat den Plan vor dem Vater lange geheim gehalten. [*「...に対して」を表す場合はvor...3を用いる],彼はその計画を長い間父親には秘密にしておいた。
Es geht hier nicht um Geld.,これはお金の問題ではない。
Durch seine Niederlage wurde er zum Gelächter.,敗北によって彼は物笑いの種になった。
Kannst du mir bei Gelegenheit die CD bringen?,ついでの時にそのCDを持ってきてくれますか？
"Es gelang mir nicht, ihn telefonisch zu erreichen.",彼と電話で連絡を取ることができなかった。
Eine solche Erklärung kann ich nicht gelten lassen.,そのような説明には納得できない。
Das schwarze Kleid bringt ihre Schönheit noch mehr zur Geltung.,その黒いドレスは彼女の美しさをいっそう引き立たせている。
Ich habe viel mit meiner Frau gemein.,私は妻と共通点が沢山ある。
Ich habe genug von der Arbeit.,私はその仕事にうんざりしている。
Er ist damals oft ins Gerede gekommen.,彼は当時よく噂にのぼった。
Musik interessiert mich nicht im Geringsten.,私は音楽には全く興味がない。
Er hat das Gesicht verloren.,彼は面目を失った。
Das Kind machte ein langes Gesicht.,その子供はしょげた顔をした。
"Er macht alles, um das Gesicht zu wahren.",彼は体面を保つためなら、なんでもやる。
Diesen Hut soll ich aufsetzen? Möchtest du mich zum Gespött der Leute machen?,この帽子をかぶれというの？あなたは私をみんなの笑いものにしたいの？
Sie ist der schwierigen Situation gewachsen.,彼女にはこの困難な事態を克服する力がある。
Mit aller Gewalt versuchte er sie zu überreden.,何が何でも彼は彼女を説得しようとした。
Unser Lehrer legt viel Gewicht auf die Grammatik.,私たちの先生は文法をとても重視している。
"Da der Student zu spät kam, hatte er ein schlechtes Gewissen.",その学生は遅刻してきたので、気がとがめていた。
Es gibt gar keine Probleme.,全く問題はない。
Zum Glück hat mich niemand gesehen.,幸い私は誰にも見られなかった。
Er hat sie auf gut Glück zum Spaziergang abgeholt.,彼は出たとこ勝負で彼女を散歩に誘いに行った。
Ich habe Glück gehabt.,私は運が良かった。
Die Kinder sind Gott sei Dank zurückgekommen.,子供達は幸いなことに戻ってきた。
"Endlich ist es der Expedition gelungen, die Krise in den Griff zu bekommen.",ようやく探検隊は危機を乗り越えることに成功した。
Die Studenten haben die deutsche Grammatik noch nicht so ganz im Griff.,学生たちはドイツ語の文法をまだ完全には身につけていない。
Das Feuer griff schnell um sich.,火の手が急速に広がった。
Die Leistungen meines Sohnes waren im Großen und Ganzen nicht schlecht.,息子の成績は大体において悪くなかった。
Im Grunde genommen hat er Recht.,結局は彼は正しい。
Auf Grund meiner Erfahrungen habe ich meine Mitarbeiter beraten.,私の経験に基づいて部下にアドバイスをした。
Er wird oft ohne Grund wüntend.,彼はよく何の理由もなしに怒る。
Er hat es gut.,彼はうまくやっている。
"So gut ich kann, werde ich dir beistehen.",できる限り私は君を助ける。
Das ist so gut wie unmöglich.,それは不可能も同然だ。
Ich wäre um ein Haar überfahren worden. [*umは程度の差を表す前置詞で、「髪の毛1本の差で」の意味],あやうく車にひかれるところだった。
Ich habe noch zu arbeiten.,私はまだ仕事がある。
Er hat eine schwere Operation hinter sich.,彼は難しい手術を済ませた。
"Als er das Ergebnis erfuhr, war er halb froh, halb enttäuscht.",その結果を知った時、彼は半ば喜び、半ばがっかりした。
Ich halte ihn für ehrlich.,私は彼を正直だと思っている。
Er muss die Leitung des neuen Projekts in die Hand nehmen.,彼は新しいプロジェクトの指導を引き受けねばならない。
Unsere Uni liegt rechter Hand vom Rathaus.,私たちの大学は市役所の右手にある。
Bei unserer Firma arbeiten Japaner und Ausländer Hand in Hand.,私たちの会社では日本人と外国人が協力して働いている。
Es handelt sich um einen neuen Virus. [*重要な非人称熟語、esは文頭以外でも省略できない],その新しいウイルスのことが問題だ。
Er ist hier ein alter Hase.,彼はここではベテランだ。
Wir haben dafür keine Zeit. Da liegt der Hase im Pfeffer. [*der Hase im Pfeffer: こしょうをきかせたウサギ→すでに料理されたウサギ→どうしようもないもの→問題・難点となった],私たちには時間がない。それが問題だ。
Der Professor fährt leicht aus der Haut.,その教授はすぐにかっとなる。
Schweren Herzens verließ er seine Heimat.,重苦しい気持ちで、彼は故郷を後にした。
Ich danke Ihnen von ganzen Herzen.,心からお礼を申し上げます。
"Ich musste mir ein Herz fassen, bevor ich ihn anrief.",私は彼に電話をかける前に覚悟を決めなければならなかった。
Das liegt mir sehr am Herzen.,そのことが気になって仕方がない。
Mit Hilfe eines Wörterbuches können die Studenten in meiner Klasse schon deutsche Zeitungen lesen.,辞書の助けを借りれば、私のクラスの学生はもうドイツの新聞を読むことができる。
Wir müssen den Opfern Hilfe leisten.,私たちは被災者たちに援助の手を差し伸べるべきだ。
Der Berufsanfänger fährt immer geschäftlich hin und her.,その新入社員はいつも仕事であちこち飛び回っている。
Bitte einmal Berlin hin und zurück!,ベルリンまで往復1枚ください。
Der Alpinist ist schon über die Grenze hinaus.,その登山家はすでに国境を越えた。
Im Hinblick auf die Gesundheit fiel sie gestern auf.,健康のことを考えて彼女はきのう欠勤した。
Das Schloss ist in jeder Hinsicht gut geplant.,この城はあらゆる点でよく設計されている。
In Hinsicht auf die Kosten haben wir gar keine Sorge.,費用については我々はまったく心配していない。
Die im 20. Jahrhundert so mächtige Firma ist plötzlich vor die Hunde gegangen.,20世紀にあれほど兄弟だったその会社は急に転落してしまった。
"Es ist fast unmöglich, viele Menschen unter einen Hut zu bringen.",多くの人々の考えを一つにまとめるのはほとんど不可能だ。
Ich möchte für immer in dieser Firma arbeiten.,私はいつまでもこの会社で働きたい。
Bist du denn mit den Hausaufgaben immer noch nicht fertig?,おまえは相変わらずまだ宿題が終わらないのか？
"Wir sind nicht mehr imstande, ihm weiter zu helfen.",私たちはもうこれ以上彼を援助できない。
Der Mann hat viele Studenten in die Irre geführt.,あの男は何人もの学生を道に迷わせた。
In diesem riesigen Themenpark können die Kinder leicht in die Irre gehen.,この巨大なテーマパークでは子供たちは簡単に道に迷ってしまう。
"Je mehr, desto besser.",多ければ多いほど良い。
Sie hat unter den Klassenkameraden am schnellsten.,彼女が同級生の中で最も早く出世した。
Die Vorbereitungen waren für die Katz.,準備は何の役にも立たなかった。
Beim Ausverkauf muss man auch etwas schlechte Qualität in Kauf nehmen.,安売りなら多少品質が悪くても仕方がない。
"Sie war kaum aus dem Zimmer, als das Telefon klingelte.",彼女が部屋から出て行こうとした途端に電話が鳴った。
"Man muss zur Kenntnis nehmen, dass es nicht genug Lebensmittel gibt.",食料品が十分でないことに注意しなければならない。
Das Ergebnis der Prüfung wird in 2 Wochen zur Kenntnis gebracht.,試験の結果は2週間後に知らされる。
Meine Mutter hat von klein auf Klavier gelernt.,私の母は幼い頃からピアノを習っていた。
"Als sie ihm das sagte, wurde er ganz klein.",彼女が彼にそれを言うと、彼はしょんぼりしてしまった。
Die Leute in diesem Land sitzen jetzt in der Klemme.,この国の人々は現在窮地にある。
Die Kinder sind nass bis auf die Knochen nach Hause gekommen.,子供たちはずぶ濡れになって家に帰ってきた。
In einer Stunde kam er zu sich.,1時間後彼は意識を取り戻した。
Wir sind mit dem Hausmeister in Konflikt gekommen.,私たちは管理人ともめ事を起こしてしまった。
Ihre Frage hat ihn aus dem Konzept gebracht.,彼女の質問は彼をうろたえさせた。
Die Kinder haben das ganze Haus auf den Kopf gestellt.,子供たちは家中をめちゃくちゃに散らかした。
Mein Freund ist im Examen durchgefallen und hat den Kopf verloren.,友達は試験に落ちてうろたえていた。
Der letzte Dank geht auf Kosten des Hauses!,最後の一杯はうちのおごりだ。
Haben Sie die ganze Reise auf eigene Kosten gemacht?,あなたはその旅行の費用を全額自分でまかなったのですか？
Die Passagiere erreichten aus eigener Kraft das Ufer.,乗客は自力で岸にたどり着いた。
Diese Regeln sind weiterhin in Kraft.,これらの決まりは今後も有効である。
Alle üben an seiner neuen Methode Kritik.,みなが彼の新しいやり方を批判している。
Sein Vorschlag war unter aller Kritik.,彼の提案は話にならなかった。
Meine Schwester kümmert sich um die Katze.,姉が猫の世話をする。
Er ist vor kurzem nach Kyoto gezogen.,彼は最近京都に引っ越した。
Meine Eltern sind seit kurzem in Deutschland.,私の両親は先日来ドイツに行っている。
Der minister hat das neue System kurz und bündig erklärt.,大臣は新しい制度について簡潔に説明した。
Ich möchte mich kurz fassen.,手短に述べよう。
"Ich bin in der Lage, das Problem zu lösen.",etw. können
Haben Sie das Wörterbuch noch auf Lager?,この辞書はまだ在庫にありますか？
Ich kann nicht länger warten.,私はこれ以上待てない。
Seit langem kenne ich diese Familie.,ずっと以前から私はこの家族を知っている。
Er zieht immer die Besprechung in die Länge.,彼はいつも打ち合わせを長引かせる。
Die Sitzung zog sich sehr in die Länge.,会議は非常に長引いた。
Das ist noch längst nicht genug.,これではまだ十分とは言えない。
Im Lauf der Jahre hat sich bei uns vieles verändert.,年月が経つうちに私たちのところではいろんなことが様変わりした。
Im Laufe von 20 Jahren hatte der Chefkoch in vielen Restaurants der Welt Erfahrungen gesammeln. (*Erfahrungen sammeln: 経験を積む）,20年間で料理長は世界の多くのレストランで経験を積んできた。
Beim Unfall sind viele Leute ums Lebens gekommen.,その事故で多くの人が死んだ。
Das war ein Kampf auf Leben und Tod.,それは生死を賭けての戦いだった。
Der Mann hat sich gestern das Leben genommen.,その男は昨日自殺した。
"Ich habe vor, eine neue Firma ins Leben zu rufen.",私は新しい会社を設立するつもりだ。
Einen Diebstahl würde er nie im Leben begehen.,窃盗など、彼は決してしないだろう。
Sie war mit Leib und Seele bei der neuen Arbeit.,彼女は新しい仕事に全身全霊で打ち込んでいた。
Sie hat es nicht leicht.,彼女の立場は楽ではない。
Ich kann ihn nicht leiden.,私は彼が嫌いだ。
Ich kann Peter sehr gut leiden.,私はペーターが大好きだ。
Sie singt leidenschaftlich gern.,彼女は歌うのがものすごく好きだ。
"Es tut mir leid, dass ich Sie stören muss.",お邪魔して申し訳ありません。
Als Letzte kam sie.,最後に彼女がやってきた。
Diese Firma kenne ich bis ins Letzte.,この会社のことは事細かに知っている。
Jetzt muss die Wahrheit ans Licht gebracht werden.,今や真実が明らかにされなければならない。
Bei Licht besehen ist es nicht so schwer.,よく考えればこれはそれほど難しくはない。
Wir müssen in erster Linie an die Rettung der Opfer denken.,私たちは何よりもまず被害者の救出のことを考えなければいけない。
"Heute habe ich ihn in der Stadt gesehen, er hat mich aber links liegen lassen.",きょう私は町で彼に出会ったが、彼は素知らぬ顔をして行ってしまった。
