日本語	英語
彼はその家に押し入ったことは認めたが、殺人を犯したことについては否定した。	He admitted breaking into the house but denied committing murder.
多くの移民たちが合法的な地位を得ることに苦労している。	Many immigrants have difficulty obtaining legal status.
彼らは会議の段取りで忙しい。	They are busy making arrangements for the conference.
彼は全生涯を野生生物の観察に費やした。	He spent his whole life observing wildlife.
彼は旅行の準備で遅くまで起きていた。	He stayed up late preparing for the trip.
大統領は経済危機に解決をもたらすことができなかった。	The president could not bring about a solution to the economic crisis.
歴史的な発見の多くは偶然の産物だ。	Many historic discoveries come about by accident.
自分の職業に誇りを持っています。やりがいのある、私の一番良いところを引き出せる仕事です。	I'm proud of my profession, which is rewarding and brings out the best in me.
日本は7兆ドル以上という膨大な国の借金を抱えている。	Japan has a huge national debt of more than seven trillion dollars.
現在までに521,325名分の署名が集まった。	So far, 521,325 signatures have been collected.
彼は、その不動産の3分の2は自分のものであると主張している。	He claims that two-third of the property belongs to him.
この側は浅くはない。深さが5フィートある。	This stream isn't shallow, it's five feet deep.
この小包の重さはだいたい2ポンドです。	This package weighs two pounds, more or less.
地球は火星のほぼ2倍の大きさだ。	The Earth is approximately twice as large as Mars.
お気に入りの小説に関する記事を偶然見つけたので切り抜いた。	I came across an article about my favorite novel and tore it out.
このパンツに合うものをいくつか選んでもらえますか？	Can you pick out some items that will go with these pants?
彼は気を失い、呼吸をするのもやっとだった。	He fainted and was barely breathing.
彼は彼女に当分の間は報道陣に対して一切コメントしないよう忠告した。	He advised her not to make any comment to the press for the time being.
現時点では、彼が有罪であることを立証する充分な証拠がない。	At present, there is not sufficient evidence to prove that he is guilty.
輸出額が輸入額を上回れば、貿易収支は黒字になる。	If exports exceed imports, the trade balance will be a surplus.
日本は防衛予算を増やす必要はないと、私は思います。	I don't think Japan needs to increase its defense budget.
その組織は反乱軍に武器を供給している疑いが持たれている。	The organization is suspected of supplying weapons to the rebels.
この新しい方法はたぶん従来の技術に取って代わるだろう。	This new method will no doubt replace conventional technology.
正直なところ、私は近所の人とうまくいってない。	To be honest, I'm not getting along with my neighbors.
彼は教育心理学を専攻した。	He majored in educational psychology.
変化に抵抗する人たちを納得させるのは大変だ。	It's tough to convince people who resist change.
トムはすごい才能の持ち主だが、多くの人は彼のことを少し変わり者だと思っている。	Tom is extremely, talented, but many consider him to be slightly odd.
謙虚は美徳であると考えられている。	Modesty is regarded as a virtue.
日本は技術革新を制限している規制を取り除かなければならない。	Japan must get rid of the regulations that restrict innovation.
表面のしみをとるならこの液体を試してみて下さい。	Try this liquid to remove stains from the surface.
ニックは大学を卒業後、投資会社を設立した。	Nick set up an investment firm after he graduated from college.
その事件を調査するために委員会が設置された。	A committee was established to investigate the incident.
何か恐ろしいことが起ころうとしている、と彼は私たちに警告した。	He warned us that something horrible was about to happen.
トムが亡くなって、明日葬儀が行われる。	Tom passed away, and his funeral will take place tomorrow.
彼女に直接連絡を取ろうとしたが、つながらなかった。	I tried to contact her directly, but I couldn't get through.
あなたが出張で留守の時は、どうしたら連絡が取れますか？	How can I get in touch with you when you're away on business?
実は、彼女は夫から肉体的な虐待を受けてきた。	In fact, she has suffered physical abuse from her husband.
私もかつて同じような経験をしたことがあるから、ボブには同情します。	I felt sympathy for Bob because I had gone through something similar once.
日本は着実なペースで不況から回復している。	Japan is recovering from the recession at a steady rate.
ジェーンと別れて以来、彼はまだ極度の落ち込みから立ち直れないでいる。	He still can't get over his depression since he broke up with Jane.
国会議事堂で爆弾が爆発した。幸いにも、けがをした人はいなかった。	A bomb exploded in the parliament building. Fortunately, no one was injured.
その船は爆発し、海底に沈んだ。	The ship blew up and sank to the bottom of the ocean.
株式市場は不安定で、いつ暴落してもおかしくない。	The stock market is not stable and might well collapse at any moment.
突然、天井が崩れ落ちた。	All of a sudden, the ceiling gave way.
外務大臣は遅かれ早かれ、辞表を提出するつもりでいる。	The Foreign Minister intends to hand in his resignation, sooner or later.
課題を提出する前にもう一度よく目を通しなさい。	Before you turn in your assignment, go over it again.
私たちの地球を守るためには国際的な協力が必要です。	Protecting our planet calls for international cooperation.
この任務は大変注意を要する。	This task requires a great deal of caution.
落ち着いて。たぶん君は最終面接に選ばれるよ。	Relax. Chances are you'll be selected for the final interview.
どうぞくつろいで軽食をつまんでください。	Make yourself at home, and help yourself to some snacks.
ひどい天気だったので、配達は時間通りにされなかった。	Delivery was not made on time because of the severe weather.
霧のためにすべての便が遅れた。	All flights were delayed due to fog.
彼らが混乱しないように明確な指示を与えなさい。	Give them specific instructions so as not to confuse them.
その論争に終止符を打つためには両者の妥協が必要だ。	They need to compromise in order to put an end to the dispute.
多くの障害にもかかわらず、彼は自分の大きな目標を成し遂げた。	In spite of numerous obstacles, he achieved his ambition.
脅威にひるむことなく、彼は正義と自由のために立ち上がった。	Despite threats, he stood up for justice and liberty.
時々、トムは自分の顧客を高級レストランで接待する。	From time to time, Tom entertains his clients at fancy restaurants.
時々、僕は自分の少年時代を振り返る。	Every now and then, I look back on my childhood.
自分の主義に反するとの理由で、彼はその命令に従わなかった。	He didn't obey the command because it was against his principles.
ほとんどの人がその提案に賛成していることをある調査は示している。	A survey indicates most people are in favor of the proposal.
多くの人々が現行の福祉制度に反対している。	A lot of people are opposed to the current welfare system.
要するに、彼の政治に対する考えは私たちとは反対だ。	In short, his political view is the opposite of ours.
「百科事典を借りていい？調べなきゃいけないことがあるんだ。」 / 「もちろん。どうぞ。」	"Mind if I borrow your encyclopedia? I need to look something up." / "Not at all. Go ahead."
大まかな計算によると、家は借りるよりも所有したほうが安くつく。	According to rough calculations, it will cost you less to own a house than to rent it.
大切に扱ってくれるなら貸してあげるよ。	I'll lend it to you as long as you take care of it.
彼はポルシェに乗り込み国境へと向かった。	He got into his Porsche and headed for the border.
おじは慌ててバスを降りた時に足首を捻挫した。	My uncle twisted his ankle when he got off the bus in a hurry.
終身雇用の職だけでなく、短期契約の職にも空きがほとんどない。	There are few vacancies, not only in permanent but also in temporary positions.
私たちは以前はボブを見下していたけれども、今は尊敬している。	We used to look down on Bob, but now we look up to him.
その軍の高官は、証人として法廷に出た。	The military official appeared in court as a witness.
おととい、何の形跡も残さずにトムが姿を消した。	The day before yesterday Tom disappeared without a trace.
その病気や高熱が鈍い頭痛などの症状を引き起こすことがある。	The disease may cause symptoms such as fever and a dull headache.
大量に購入される場合は割引き致します。	We will give you a discount if you purchase in quantity.
主賓がまた姿を見せないので、主催者はやきもきしている。	The host is impatient because the guest of honor hasn't shown up yet.
無用な対立を避けるために、彼らが背後で動いている。	They are working behind the scenes to avoid unnecessary conflicts.
そんなに醜いものがここに建てられたら、誰だって反対する。	Everyone will object if such an ugly object is put up here.
その建物は景観を損なわないように設定されている。	The building is laid out so that it won't ruin the landscape.
彼はひざを曲げた状態で横向きに寝た。	He lay down on his side with his knees bent.
みんなは僕が嘘をついたと責めたけど、僕は誓って嘘はついていない。	Everybody accused me of telling a lie. But I swear I didn't.
給料も上がりそうにないし、今すぐにでも辞めた方がましだ。	The wages are not likely to rise, so I might as well quit right away.
政府がこれ以上の増税をすることを私たちは許しません。	We won't allow the government to raise taxes any further.
太陽系の起源をめぐって論争が持ち上がった。	Controversy arose over the origin of the solar system.
一般的に、人に対しては批判するよりもほめるほうが効果的だ。	In general, people respond better to praise than to criticism.
彼がそのことを口にした途端、彼女は急に泣き出して顔をそむけた。	The moment he referred to it, she burst into tears and turned away.
この図は脳がどのように刺激に反応するかを示しています。	This chart illustrates how your brain reacts to stimuli.
中流階級の人々に訴えるために、その党の政策は磨きがかけられた。	The party's policy has been polished to appeal to the middle class.
彼女は柔軟な人間で、どのような状況にも合わせることができる。	She is flexible and capable of adjusting to any circumstance.
気候の変化に順応できない種は絶滅するだろう。	The species that cannot adapt to climate change will become extinct.
最近はちょっと神経質になっていたけれど、すぐにそのことに慣れた。	I felt sort of nervous at first, but I soon got used to it.
何よりもまずメモは簡潔で要領を得ていなければならない。	First of all, notes should be brief and to the point.
この装置は以前のものよりも多くの点で優れている。その上、価格も割安だ。	This machine is superior to previous ones in many features. What's more, it's less expensive.
すべての核施設は検査を受け入れなくてはならない。	All nuclear facilities are subject to inspection.
現地の慣習に対して敏感でいれば、人々はあなたを受け入れてくれる。	If you are sensitive to local customs, the people will accept you.
私たちは相手側との対話をいつでも歓迎します。	We are always open to dialogue with our opponents.
ある気前のよい男性が、莫大な額の金を慈善団体に寄付した。	A generous man contributed an enormous amount of money to the charity.
海外に行くと物事の見方に新たな面が加わる。	Going abroad will add new dimensions to your perspective.
この素材は日光にさらされると有毒なガスを発する。	This material will give off a poisonous gas if it is exposed to the sun.
同じことを何度も君に説明するのはもううんざりだ。	I'm tired of explaining it to you over and over again.
彼が指摘する通り、それらの化学物質は環境に深刻な害を及ぼす。	As he points out, those chemicals do serious harm to the environment.
僕に任せて。君をがっかりはさせないよ。	Leave it to me. I won't let you down.
会議で上司が私を社員たちに紹介した。	The boss introduced me to his staff at the meeting.
私たちはこのテーマに対して特別な注意を払ってきました。	We have paid particular attention to this subject.
彼らが僕を陰で笑いものにしていることには気付いていたけれど、僕は知らないふりをした。	I was conscious that they were laughing at me behind my back, but I ignored it.
彼に向かって怒鳴りたかったけれども、何とかその感情を抑えた。	I wanted to yell at him but managed to hold it back.
「気を付けろ！わなだぞ。！」とボブはリサに向かって叫んだ。	"Watch out! That's a trap! Bob shouted to Lisa.
彼にわざと邪魔をされて僕は頭にきていた。	I was mad at him because he got in my way on purpose.
どうやら彼はその事務員に一目惚れしたようだ。	Apparently he fell in love with the clerk at first sight.
年配の男性がジョーの隣に腰かけ、しばらく彼をじっと見つめた。	An elderly man sat next to Joe and stared at him for a while.
どちらが本物かは一目見ればわかる。	You can tell at a glance which one is genuine.
詳細をよく見る前に、要約にざっと目を通してみましょう。	Before going into details, let's take a quick look at the summary.
マンションを探しています。独身だからとりあえずはどんなものでも構いません。	I'm looking for an apartment. Since I'm single. Anything will do for now.
ニックが手を貸してくれるときは必ず見返りを求める。	Nick never gives us a hand without asking for something in return.
警察は刑務所から脱走した男を捜している。	The police are searching for a man who escaped from prison.
その仕事に応募しないと後悔するよ。	If you don't apply for the job, you'll regret it.
いわゆる公共の利益のために個人の権利は犠牲にされてきた。	Individual rights have been sacrificed for what is called the common good.
もはや彼らはそれらの特権を当然のものと考えることはできない。	They can no longer take those privileges for granted.
その警官は泥棒と勘違いされて気分を害した。	The officer was offended when he was mistaken for a thief.
"EC"は電子商取引の略です。	"EC" stands for "electronic commerce".
ボブはリサに拒絶され続けて自信をなくしている。	Bob lacks confidence because Lisa keeps on rejecting him.
今起こっていることに集中しなきゃいけない。	I've got to concentrate on what's going on now.
残念ですが、彼らの関係は永遠には続かないと思います。	I'm afraid their relationship won't last forever.
私たちの研究を続けるためには、あなたの継続的な支援が必要です。	We need your constant support to continue our research.
判断は偏見ではなく理性に基づいていなければならない。	Your judgment must be based on reason, not on prejudice.
彼らを当てにすると、きっとがっかりするよ。	I bet you'll be disappointed if you count on them.
昇進するかどうかは仕事の実績次第です。	Whether you get promoted or not depends on your performance.
大部分において、日本は自国の安全を米国に頼っている。	For the most part, Japan relies on the U.S. for its security.
その展覧会のテーマは「がらくたを宝物に変えよう」だ。	The theme of the exhibition is, "Turn Trash into Treasure".
このおとぎ話はいくつかの言語に翻訳されている。	This fairy tale has been translated into several languages.
その国はそれぞれ明確に異なる地形をした3つの地域に分けられる。	The country is divided into three regions, each with its own distinct geography.
飛行機が墜落炎上し、乗員乗客の全員が死亡した。	The plane crashed in flames, killing all the passengers and crew.
彼が彼女を侮辱すると、彼女は怒って電話を切った。	When he insulted her, she hung up the phone in anger.
この道具は便利です。例えば、二つに折り畳むことができます。	This tool is convenient. For example, it folds in half.
人込みの中で目立つために、彼女は純白の服を着た。	She dressed in pure white to stand out in the crowd.
数ヶ所の傷を除けばそのベンツの程度は良好だ、と彼は確約してくれた。	He assured me that the Mercedes was in good condition except for a few scratches.
彼は公衆の面前で裸になり、その場で逮捕された。	He was arrested on the spot for being naked in public.
私たちは危機にさらされている世界遺産の地を守る責任がある。	We are responsible for preserving World Heritage sites that are in danger.
「どうしたの、ボブ？」 / 「内密に相談したいことがあるんだけど。」	"What's the matter, Bob?" / "Can I have a word with you in private?"
彼女は他人の賛同を得られるかどうかで自分の在り方を決める傾向がある。	She tends to define herself in terms of the approval of others.
私の考えでは、すべての災害が不可避であるわけではない。	In my opinion, not all disasters are inevitable.
彼の成績はすばらしくもなければひどくもない。言い換えるなら、まずまずということだ。	His grades are neither excellent nor terrible. In other words, they are decent.
登録用紙は本人が記入して下さい。	Fill out the registration form in person.
情報伝達革命はプラス・マイナス両面において私たちに影響を及ぼすであろう。	The communications revolution will affect us in both positive and negative ways.
ある意味、アメリカの強さはその人種の多様性から生じている。	In a sense, the strength of the U.S. comes from its racial diversity.
労働組合は働く人々の利益を維持するために重要な役割を果たす。	A labor union plays a significant role in maintaining workers' benefits.
実は彼女は彼の人格よりにも名声のほうに興味がある。	Actually, she's more interested in his fame than in his character.
農地に従事する人の数は減少している。	The number of people who are engaged in agriculture is decreasing.
私と違い、彼は宗教をやみくもに信仰している。	Unlike me, he has blind faith and religion.
「僕は悪霊の存在を信じている。」 / 「ばか言わないで。」	"I believe in evil spirits." / "Don't be ridiculous!"
その違法な商取引に前市長が関わっていたことが内部資料で明らかになった。	Internal documents revealed that the former mayor was involved in the illegal business.
交通渋滞にはまってしまった。	I was stuck in a traffic jam.
トムは担当責任者としてすべきことを怠った。	Tom neglected what he was supposed to do as the man in charge.
米国は頻繁に日本の国内問題に干渉する。	The US frequently interferes in Japan's domestic affairs.
「彼のところに寄っていこうよ。」 / 「うん。いいね。」	"Why don't we drop in at his place?" / "Sure, why not?"
電気水道ガスなどが全部つながるまでは入居できない。	We can't move in until all the utilities are connected.
一生懸命やれば最後には報われる、というのが私の信念だ。	It is my belief that hard work pays off in the long run.
結局、その男は無実であることがわかった。	In the end, the man turned out to be innocent.
私たちは、自分たちの成し遂げてきた飛躍的な進歩にとても満足しています。	We are very satisfied with the tremendous progress we have made.
彼らは新しい環境にかなり満足した。	They were quite pleased with their new surroundings.
たとえ彼のことを聞いたことがないとしても、たぶん、彼の作品にはなじみがあるでしょう。	Even if you haven't heard of him, you're probably familiar with his work.
現代文明はいくつかの大きな難題に直面している。	Modern civilization is faced with great challenges.
ボブは自分の年収を他人のものと比較して惨めな気持ちになった。	Bob compared his annual income with others' and felt miserable.
日本では多くの人が血液型はその人の性格と何らかの関係があると信じている。	In Japan, many people believe your blood type has something to do with your personality.
彼は自分の過去に結びつくような話題は、一切口にしたがらない。	He hesitates to mention anything that is associated with his past.
次の選挙ではわざわざ投票に行かない。だから、結果についても不満は言わない。	I won't bother to vote in the next election, so I won't complain about the outcome.
ボブは無関心を装っているが、ジェーンのことが好きでたまらない。	Bob pretends to be indifferent, but he's crazy about Jane.
ボブは他人が自分をどう思うかを心配している。私はと言えば、何とも思わない。	Bob is concerned about what others think of him. As For me, I don't care.
もし化石燃料を使い果たしてしまったらどうなるだろう？	What if we use up all the fossil fuels?
それは太いひもでしっかり縛ったほうがいい。	You'd better use thick string to tie it up.
いわゆるマイノリティはアメリカの人口の大きな割合を占めている。	So-called minorities make up a large proportion of the U.S. population.
この研究の第一の目的は、酸性雨が森林に与える影響を知ることです。	The primary aim of this study is to find out the effects of acid rain on forests.
トムは決して並の人間ではない。私は彼のことが理解できない。	Tom is anything but ordinary. I can't figure him out.
彼らは、遠くのぼんやりとした物影を何とか捕らえた。	They could just make out some vague shapes in the distance.
いずれにせよ、それは自分で解決しなければならない。	In any case, you'll have to work it out on your own.
ああいう奴らには近づくな。でないと大変なことになるよ。	Stay away from guys like that, or you'll get into trouble.
若者たちが暴力に頼らないようにするために私たちに何ができるだろう？	What can we do to prevent youth from turning to violence?
利益を減少させないために我々は攻めの手段を取らなければならない。	We must take aggressive measures to keep our profits from declining.
残酷な実験がその研究室の中で行われている。	Some cruel experiments are underway in the laboratory.
彼は世間の評判に応えなければというプレッシャーを感じている。	He's been under pressure to live up to his reputation.
状況が手に負えなくなる前に、大胆な行動を取らなければならない。	We must take bold action before the situation gets out of control.
あなたの要望は絶対に認められない。	Your request is absolutely out of the question.
アイデアを思いついた時はいつでも、すぐにメモしておきなさい。	Whenever you come up with an idea, write it down immediately.
彼は急な坂の真ん中で彼らに追い付いた。	He caught up with them in the middle of the steep hill.
彼は毛布の山を片付けてから、彼女の洗濯を手伝った。	He put away the pile of blankets and helped her with the laundry.
捨ててしまうくらいなら誰かにあげたほうがいい。	I'd rather give it away to somebody than throw it away.
「君だとわからなかったよ。ボブ。」 / 「最近体重が増えちゃって。」	"I didn't recognize you, Bob." / "I've put on weight recently."
彼は酔っぱらうと決まって服を脱ぐ癖がある。	He has a habit of taking off his clothes whenever he gets drunk.
彼の振る舞いはその場にふさわしいとはとても言えないものだった。	His behavior was far from appropriate for the occasion.
彼女はそのうわさが広まっていることに気付いていた。	She was aware of the rumor that had been going around.
彼女をデートに誘うのが怖い。もし断られたら恥ずかしいよ。	I'm scared to ask her out. I'll be embarrassed if I'm refused.
「単なる好奇心なんだけど。誰かと付き合ってるの？」 / 「関係ないでしょ！」	"Just out of curiosity, are you seeing someone?" / "It's none of your business."
誤解されるのを恐れて彼は自分の考えを表に出さなかった。	He didn't express his thoughts for fear of being misunderstood.
彼は感情を隠すようになった。	He learned to hide his emotions.
僕はジェニファーに引かれている。どうしたら、彼女に気付いてもらえるだろう？	I'm attracted to Jennifer. How can I get her to notice me?
人に好印象を与えるために、自慢したり誇張したりしてはいけない。ありのままの自分でいなさい。	Don't show off or exaggerate to impress others. Just be who you are.
「今日は外食にしない？」 / 「最高！」	"How about eating out tonight?" / "Sounds terrific!"
私たちが会話を始めた途端、ボブが割り込んできた。	As soon as we started our conversation, Bob interrupted.
彼は離婚するよりも妻に耐えることを選ぶ。	He prefers to put up with his wife rather than divorce her.
「離して！私たちは終わりよ。」 / 「落ち着けよ、ジェーン。よく話し合おう。」	"Let me go! We're through." / "Calm down, Jane. Let's talk it over."
現在、二人は別々の生活を送っているけれども、彼はまだ彼女の思い出にすがっている。	Although they now live separate lives, he still holds on to memories of her.
元気だせよ、ボブ。自分を責めちゃだめだ。君のせいじゃない。	Cheer up, Bob. Don't blame yourself. It's not your fault.
自分の失礼な発言を恥ずかしく思います。彼女に謝罪しなくては。	I am ashamed of my rude remarks. I should apologize to her.
許してくれよ。君の気持ちを傷つけるつもりはなかったんだ。	Please forgive me. I didn't mean to hurt your feelings.
たぶん彼女はむっとしているよ。彼女にもっと礼儀正しく接するべきだったね。	I guess she's upset. You should have been more polite to her.
ほっといてくれ。2,3日よく考えたいんだ。	Leave me alone. I want to think it over for a couple of days.
今月、彼は月々の決まった請求の他に罰金も払わなくてはならない。	In addition to his regular monthly bills, he has to pay a fine this month.
彼は平均すると1日あたり5000円の収入を得ている。	He earns, on average 5,000 yen a day.
何にお金を使ったか、把握しておくことを勧めます。	We recommend that you keep track of your expenses.
いくらかでも貯金をする余裕があればなあ。	I wish I could afford to put aside some money.
彼らは抜本的な改革を本気で実行しようとは思っていない。ただ先送りしようとするだけだ。	They aren't eager to carry out fundamental reform. They just try to put things off.
市議会は地域社会全体を代表する。	The City Council represents the entire community.
その政権は繁栄を生み出すための具体的な計画を持っていない。	The administration has no concrete plan to create prosperity.
今後は贅沢品なしでやっていかなければならない。	From now on, we'll have to do without luxuries.
運動するだけでなく、普段の食事での脂肪分を減らした方がいい。	Apart from doing exercises, you should cut down on the fat in your diet.
その紙袋は、いろんな種でいっぱいだった。	The paper bag was filled with a variety of seeds.
生魚は大嫌い。一つには、においがひどい。	I hate raw fish. For one thing, it smells awful.
その上に熱湯を注ぐだけでいい。	All you have to do is pour some boiling water over it.
彼らが自分をまるで宇宙人であるかのように扱ったので、ボブはかっとなった。	Bob lost his temper because they treated him as if he were an alien.
彼は年齢の割に語彙が豊富だ。	He has a large vocabulary for his age.
その単語の発音は僕にはまず無理。綴りなんてなおさら書けるわけがない。	I can hardly pronounce the word, let alone spell it.
「ボブってバカだよね。」 / 「とんでもない！彼は天才よ！」	"Bobs stupid, isn't he?" / "On the contrary! he's a genius."
かなりたくさんの人が彼の講演に出席した。	Quite a few people attended his lecture.
彼は窓際のテーブルに腰を下ろし、目の前を通り過ぎる人たちを眺めていた。	He sat at a table by the window and watched people pass by.
私たちは気取らないながらも洗練されたそこの雰囲気に居心地の良さを感じた。	We felt comfortable in the casual but sophisticated atmosphere.
ボブは彼女と一緒だと落ち着かない。なぜなら、彼女は彼の前の彼女を思い出させるからだ。	Bob feels awkward in her company because she reminds him of his ex-girlfriend.
千葉県では局所的なにわか雨が予報されています。	Isolated showers are forecast across Chiba Prefecture.
ニックは数週間ずっと体調が悪く、痩せて顔色も悪く見える。	Nick's been sick for weeks and looks thin and pale.
電池が切れていて、目覚まし時計が鳴らなかった。	My alarm clock didn't go off because its battery had run out.
東京の郊外で偶然知人に出会った。	By chance, I met one of my acquaintances in a Tokyo suburb.
最新の情報を入手するにはどうしたらいいですか？	How can I gain access to up-to-date information?
荷物の一つ一つに名札を付けて下さい。	Please attach your name tag to each piece of baggage.
親戚が誰も見送りに来なかったので、彼は悲しかった。	He felt sad because none of his relatives came to see him off.
ご搭乗中は携帯電話の電源をお切り下さい。	Please turn off your cell phone while on board.
彼は夜明け前に出発したので、充分な時間的余裕をもって現地に着いた。	He set out before dawn, so he got there with plenty of time to spare.
観光するなら公共の交通機関を使った方がよい。	When going sightseeing you should use public transportation.
保険ですべての損害が補填されると思ってはいけない。	Don't assume that your insurance will cover all the damage.
この見積もりには仲介手数料は含まれていません。	This estimate does not include the agents fee.
間違えて上下逆さまに展示されている抽象画もあった。	Some abstract paintings were displayed upside down by mistake.
この建築様式は中世の典型的なものである。	This architecture is typical of the Middle Ages.
ボブは彫像にぶつかって舌を激しく噛んでしまった。	Bob bumped into a statue and bit his tongue very hard.
その伝統は古代から受け継がれてきたものだ。	The tradition has been handed down from ancient times.
編集者はその原稿にざっと目を通したが、出版する価値があるとは思わなかった。	The editor looked through the manuscript, but he didn't think it was worth publishing.
彼は著者の許可を得ずにその一説を引用した。	He quoted the passage without permission from the author.
彼らは彼の哲学の本質的な要素を見落とした。	They overlooked essential elements of his philosophy.
川端氏はノーベル文学賞を受賞した。	Kawabata received the Nobel Prize for Literature.
乏しい資源を無駄にせず、大切に使うよう心掛けよう。	Try to conserve scarce resources instead of wasting them.
彼は、代替エネルギー源を見つけることがいかに急務であるかを強調した。	He emphasized how urgent it was to find alternative sources of energy.
その砂漠は農業には適さない。土壌に栄養分が乏しいからだ。	The desert is not suitable for farming because its soil is not rich.
私たちは地球温暖化のことを心配せずにいられない。	We can't help worrying about global warming.
住民たちは発電所の建設に抗議した。	The residents protested the construction of the power plant.
工場の正面にゴミがまき散らされていた。	Garbage was scattered in front of the factory.
彼らは適切な手順に従わなかった。その結果、悲劇は起こった。	They didn't follow proper procedure. As a result, a tragedy occurred.
その緊急避難所の最大収容人数は20人です。	The emergency shelter has a maximum capacity of twenty people.
この乗り物は水素で動くので、公害の削減に貢献する。	This vehicle runs on hydrogen, and therefore it helps reduce pollution.
彼はその偉大な発明の功績を評価されて当然だ。	He deserves credit for his great invention.
