ドイツ語フレーズ	日本語
... in Empfang nehmen	...を受け取る
... in Empfang nehmen	...を出迎える
letzten Endes	結局のところ
am Ende sein	疲れ果てている
zur Entscheidung kommen	決定を見る、決定の運びとなる
seines Erachtens	...の考えでは
... in Erfahrung bringen	...を知る
ohne Erfolg	成果なく、むなしく
in Erfüllung gehen	come true
zur Erinnerung an...	...の記念に、...の思い出に
...3 ...in Erinnerung bringen/rufen	...3に...を思い出させる
im Ernst	本気で
auf ewig	永遠に
auf jeden Fall	いずれにしても、どうしても
Farbe bekennen	立場をはっきりさせる
außer Fassung sein/geraten	狼狽している
... aus der Fassung bringen	...を狼狽させる
auf eigene Faust	独力で
mit...3 fertig werden	...3をうまく処理できる
Feuer und Flamme für... sein	...に夢中である
...3 auf die Finger sehen	...3をしっかり見張る
sich4 in den Finger schneiden	思い違いをする
ein großer/dicker Fisch	大物、重大犯人
fix und fertig	ひどく疲れた、すっかり仕上がった
zwei Fliegen mit einer Klappe schlagen	一石二鳥を得る
im letzten Augenblick	時間ギリギリに
... zum Ausdruck bringen	...を表現する
zum Ausdruck kommen	...が現れる
dem Aussehen nach	見たところ
nach außen hin	外面的に
außer sich 3 sein	我を忘れる
aufs Äußerste	極端に
... in Aussicht haben	...を得る見込みがある
in Aussicht stehen	見込みがある
... auswendig lernen	...を暗記する
... für bare Münze nehmen	...を真に受ける（元は「現金とみなす」の意）
auf ... bedacht sein	...に留意している
mit Bedacht voll Bedacht	慎重に、よく考えて
ohne Bedacht	軽率に
bei Bedarf	必要の際には
nach Bedarf	必要に応じて
zu seinem Bedauern	...にとって残念なことには
ohne Bedenken	ためらわずに
im Begriff sein	まさに...しようとしている
...3 ein Begriff sein	...3に知られている
... auf die Beine stellen	...を実現させる、やってのける
...3 ein Bein stellen	...3を陥れる
sich4 auf die Beine machen	出かける
... mit ...3 bekannt machen	...を...3に紹介する
... mit ...3 bekannt machen	...に...3を知らせる
ohne Belang sein nicht von Belang sein	重要でない
über den Berg sein	危機を脱している
mit ...3 in Berührung kommen	...3と接触する
...3 Bescheid geben	...3に知らせる
...3 Bescheid sagen	...3に知らせる
Bescheid wissen	事情に詳しい
von ...3 Besitz ergreifen (nehmen) / ... in Besitz nehmen	...を手にいれる
außer Betrieb sein	運転していない、休業している
in Betrieb sein	運転中である、営業中である
... in Betrieb nehmen	...の運転を開始する
... in Bewegung setzen	...を動かす
sich4 in Bewegung setzen	動き出す
zum Beweis	証拠として
mit ...3 in Beziehung stehen	...3と関連がある
... zu ...3 in Beziehung bringen/setzen	...を...3に関連づける
in jeder Beziehung	すべての点で
in Bezug auf ...	...に関して
auf... Bezug nehmen	（文語）...を指す、...を引き合いに出す、...に関連させる
wie vom Blitz getroffen	肝をつぶして（←雷に打たれたように）
in voller Blüte stehen	最盛期にある
an Boden gewinnen	勢力を増す
an Boden verlieren	勢力を失う
in einem Boot sitzen	運命を共にしている
... in Brand stecken	...に火をつける
auf die Dauer	長い間には、結局は
[wie] im Flug[e]	飛ぶように
...3 Folge leisten	...3に従う、応じる
... zur Folge haben	結果として...を伴う
in der Folge	今後、将来
wie folgt	次のように
gut in Form sein	調子が良い
in einem fort	絶えず、ずっと
keine Frage sein	確実である、疑問の余地もない
außer Frage stehen	確実である、疑問の余地もない
in Frage kommen	ふさわしい
nicht in Frage kommen	問題外である
in aller Frühe	早朝に
früher oder später	遅かれ早かれ
von früh bis spät	朝早くから夜遅くまで
mit Fug und Recht	当然のこととして、正当に
auf eigenen Füßen	自立している
Beinen stehen	自立している
auf schwachen Füßen/Beinen stehen	足元がしっかりしていない
zu Fuß gehen	徒歩で行く
... in Gang bringen/setzen	...を動かす
in Gang kommen	動き出す
in Gang sein	動いている、進行中である
ganz und gar	完全に
im Ganzen	全部で
zu...3 geboren sein	生まれながらの...3だ
von...3 Gebrauch machen	...3を使用する
außer Gebrauch kommen	使われなくなる
in Gebrauch sein	使われている
... im Gedächtnis haben	...を覚えている
...3 ... ins Gedächtnis zurückrufen	...3に...を思い起こさせる
sich3 über... Gedanken machen	...のことをあれこれ考える、心配する
ein Gedicht sein	（詩のように）美しい、美味だ
auf eigene Gefahr	自分の責任で
...3 einen Gefallen tun	...3に親切な行為をする
an...3 Gefallen finden	...3が気にいる
auf... gefasst sein	...を覚悟した
im Gegensatz zu...3	...3とは反対に
im Gegenteil	反対に、逆に
in Gegenwart...2	...2の目の前で
... geheim halten	...を秘密にしておく
es geht um...	...が問題だ
zum Gelächter werden/ sich zum Gelächter machen	物笑いの種になる
bei Gelegenheit	機会を見て、ついでのときに
...3 gelingen	...3にうまくいく
... gelten lassen	...を認める
... zur Geltung bringen	...を引き立たせる、...を認めさせる
... mit...3 gemein haben	...を...3と共有している
genug von...3 haben	...3にうんざりしている
ins Gerede kommen	噂の種になる
nicht im Geringsten	全然...でない
das Gesicht verlieren	面目を失う
ein langes Gesicht machen	しょげた顔をする
das Gesicht wahren	面目を保つ
... zum Gespött machen	...を笑いものにする
...3 gewachsen sein	...3に力が匹敵する、...3に十分対応できる
mit aller Gewalt	是が非でも、全力を挙げて
auf... Gewicht legen	...に重きを置く
ein schlechtes/gutes Gewissen haben	良心のやましさを感じる/感じない
es gibt...	...がある
zum Glück	幸運にも
auf gut Glück	運を天に任せて
Glück haben	運が良い
Gott sei Dank	ありがたいことに
... in den Griff bekommen	...の扱いになれる、...４を処理できるようになる
... im Griff haben	...の扱いを心得ている
um sich greifen	広まる
im Großen und Ganzen	大体において
im Grunde genommen	根本においては、結局は
auf Grund...2/von...3	...2/3に基づいて
ohne Grund	理由なしに
es gut haben	運がいい、恵まれている
so gut...1 kann	...1のできる限り
so gut wie	...も同然
um ein Haar	間一髪のところで、あやうく
haben zu+不定詞	〜しなければならない
... hinter sich3 haben	...を終えている
halb..., halb...	半分は…で、半分は…
... für... halten	...を...と思う
... in die Hand nehmen	...を引き受ける
rechter Hand/zur rechten Hand	右側に
Hand in Hand	手に手をとって、協力して
es handelt sich um...	...が問題である
ein alter Hase sein	ベテランである
da liegt der Hase im Pfeffer	そこに問題がある
aus der Haut fahren	かっとなる
schweren Herzens	重苦しい気持ちで
von ganzen Herzen	心から
sich3 ein Herz fassen	勇気を奮い起こす
...3 am Herzen liegen	...3の気にかかる
mit Hilfe...2/von...3	...2/3を使って
...3 Hilfe leisten	...3を助ける
hin und her	あっちこっちへ、行ったり来たり
hin und zurück	往復で
über... hinaus	...を越えて
im Hinblick auf...	...を考慮して
in jeder/vieler Hinsicht	あらゆる/多くの点で
in Hinsicht auf...	...に関して
vor die Hunde gehen	落ちぶれる、滅びる
... unter einen Hut bringen	...を一つにまとめる
für immer	いつまでも、永遠に
immer noch/ noch immer	相変わらず
imstande sein	...をすることができる
... in die Irre führen	...をだます、...を道に迷わせる
in die Irre gehen	道に迷う、思い違いをする
je+[Komparativ], desto+[Komparativ]	...であればあるほど、ますます...
Karriere machen	出世する
für die Katz[Katze] sein	何の役にも立たない
... in Kauf nehmen	...を我慢する、...を甘受する
kaum..., als...(*alsは従属接続詞で定動詞後置)	...するやいなや、...
... zur Kenntnis nehmen	...を承知する、...に注意を払う
...3 ... zur Kenntnis bringen	3に4を知らせる
von klein auf[an]	幼い頃から
ganz klein werden	しょんぼりする
in der Klemme sitzen	窮地にある
bis auf die Knochen	完全に、徹底的に
zu sich3 kommen	正気を取り戻す、我に帰る
mit...3 in Konflikt geraten[kommen]	...3に違反する、...3と衝突する
... aus dem Konzept bringen	...をうろたえさせる
... auf den Kopf stellen	...をひっくり返す、...をめちゃくちゃにする
den Kopf verlieren	うろたえる
auf Kosten...2	...2の費用負担で、...2を犠牲にして
auf eigene Kosten	自己負担で
aus eigener Kraft	自力で
in Kraft sein[stehen]	効力がある
an...3 Kritik üben	...3を批判する
unter jeder[aller] Kritik sein	話にならない
sich4 um... kümmern	...の面倒をみる
vor kurzem[Kurzem]	最近
seit kurzem	少し前から
kurz und bündig	簡潔に
sich4 kurz fassen	手短に述べる
in der Lage sein	to be able
... auf Lager haben	...の在庫がある、...を持ち合わせている
nicht länger	もうこれ以上...ない
seit langem	ずっと前から
... in die Länge ziehen	...を長引かせる
sich4 in die Länge ziehen	長引く
längst nicht...	...にはほど遠い、とうてい...でない
im Lauf[e]...2	〜のうちに
im Lauf[e] von...3	〜のうちに
ums Leben kommen	死ぬ
auf Leben und Tod	生死を賭けて
sich 4 das Leben nehmen	自殺する
... ins Leben rufen	...を設立する
nie im Leben/im Leben nicht	決して...しない
mit Leib und Seele	身も心も、すっかり
es leicht haben	楽である
... nicht leiden können	...が嫌いだ、...を我慢できない
... leiden können	...が好きである
leidenschaftlich gern	ものすごく好きだ
...3 leidtung	...3を残念がらせる、申し訳なく思わせる
als Letzter/Letzte	最後の人として
bis ins Letzte	詳細に
... ans Licht bringen	...を明るみに出す
bei Licht besehen	よく見ると
in erster Linie	まず第一に
... links liegen lassen	...を無視する
... unter die Lupe nehmen	...を入念に調べる
Lust haben	...する気がある
nach Lust und Laune	気の向くままに
an die Macht kommen [zur Macht kommen]	権力を握る
an der Macht sein	権力の座にある
mit einem Mal[e]	突然
von Mal zu Mal	回を重ねるごとに
in Maßen/mit Maßen	節度を守って
mit zweierlei Maß messen	不公平な判断をする
mehr oder weniger	多かれ少なかれ
mehr und mehr	ますます多く
nach seiner Meinung/seiner Meinung nach	...の考えでは
der Meinung sein	...という意見である
am meisten	最も多く
nicht im Mindesten[minsdesten]	全然...でない
mindestens	少なくとも
in letzter Minute	時間ギリギリに
auf die Minute	時間きっかりに
in Mode kommen	流行し始める
aus der Mode sein	流行遅れである
jeden Moment	今にも
im Moment	目下のところ
auf[hinter] dem Mond leben	浮世離れしている
nicht müde werden	飽くことなく...し続ける
sich3 Mühe geben	骨を折る、努力する
der Mühe/die Mühe wert sein	苦労するだけの価値が有る
den Mund halten	黙っている
in aller Munde sein	世間の評判になっている
nach wie vor	相変わらず、依然として
nach und nach	次第に
über Nacht	一夜のうちに、突然
bei Nacht und Nebel	夜陰に乗じて
nahe daran[dran] sein	いまにも...しそうである
im Namen...2	～を代表して
sich3 einen Namen machen	有名になる
in... seine Nase stecken [*Naseの持ち主で所有代名詞seinは変化]	...に首を突っ込む、余計な口出しをする
von Natur [aus]	生まれつき、もともと
... auf sich nehmen	...を引き受ける
...3 auf die Nerven fallen[gehen]	...3の神経に障る、...3をいらいらさせる
Nerven haben	無神経である
aufs Neue	新しく、あらためて
...3 neu sein	...3にとって始めて知ることである
sich3 aus...3 nichts machen	...3が好きではない、...3を気にかけない
von...3 Notiz nehmen	...3に注意を払う、...3を気にとめる
von oben herab	見下して
ganz Ohr sein	注意深く聞く
Im Interesse [Gen]	[Gen]の利益の為に
...3 zur Opfer fallen	...3のために犠牲になる
in Ordnung sein	問題ない、正常である
... in Ordnung bringen	...を処理する、きちんとする
ein paar	二、三の
für... Partei ergreifen[nehmen]	...の味方する
Pech haben	運が悪い、ついていない
...1 in Person sein	...1そのものである
in (eigener) Person	本人自ら
ich für meine Person	私個人は
wie ein Pferd arbeiten[schuften]	馬車馬のように働く
pflegen zu 不定詞	...するのが常である、よく...する
auf dem Plan stehen	計画されている
um jeden Preis	是が非でも、どんなことがあっても
um keinen Preis	決して...ない
im Prinzip	原則的には
im Rahmen...2/von...3	...の枠内で、範囲で
... zu Rate ziehen	...に相談する、...の意見を聞く
mit...3 rechnen	...3を考慮に入れる
recht[Recht] haben	（言うこと・することか）正しい
...3 recht geben	...3に賛成する
[nur] recht und billig sein	極めて当然のことである
mit Recht	...は当然だ
zu Recht	...は当然だ
sich4 über... beklagen	...のことで苦情を言う
von...3 die Rede sein	...3が話題である
von...3 kann keine Rede sein	...3などありえない、問題にならない
in der Regel	ふつうは、通例
der Reihe nach/nach der Reihe	順番通りに
an die Reihe kommen	自分の番になる
auf Reisen gehen	旅に出る
sich 4 auf die Reise machen	旅立つ
eine Rolle spielen	ある役割を演じる
...3 den Rücken kehren[wenden]	...3に背を向ける
auf... Rücksicht nehmen	...のことを配慮する、思いやる
mit Rücksicht auf... [*考慮しない場合はohne Rücksicht]	...を考慮して
zur Sache kommen	本題に入る
nichts zur Sache tun	本題とは関係ない、重要でない
in eine Sackgasse geraten [*die Sackgasse: 袋小路]	行き詰まる
etwas zu sagen haben	何か言うことがある、発言権がある
... satt haben	...にうんざりしている
Schaden nehmen [*nehmenのかわりにleidenが用いられることもある]	被害を受ける
...3 zu schaffen machen	...3に面倒をかける、...3を悩ませる
scheinen + zu不定詞	...のように見える、思える
Schlange stehen	長蛇の列を作る
Schluss machen	終わりにする、やめる
zum Schluss	最後に
Schritt für Schritt	一歩一歩、徐々に
mit...3 Schritt halten	...3と歩調を合わせる
an...3 Schuld haben [*habenの代わりにtragenが用いられることもある]	...3の責任がある
...3 die kalte Schulter zeigen	...3に冷淡な態度をとる
... in Schutz nehmen	...を弁護する
... auf die leichte Schulter nehmen	...を軽く考える
schwarz auf weiß	文書で、はっきりした形で
es schwer haben	苦労する
in Schwierigkeiten geraten [*geratenのかわりにkommenが用いられることもある]	困難に陥る
[sich3] ...2 sicher sein	...2を確信している
... im Sinn haben	...を考えている
...3 aus dem Sinn kommen	...3の頭から離れる
so..., dass...	あまりに...なので、その結果...
..., so dass...	その結果...
so..., wie möglich [*soの後には原級が用いられる]	できるだけ...に
sich um... Sorgen machen[*「そのこと」という意味でum...のかわりにdarüberが用いられることもある]	...のことで心配する
sowohl... als auch... [*auchは省略されることもある、またalsのかわりにwieが用いられることもある。]	...でもあり、...でもある
... aufs Spiel setzen	...を賭ける、危険にさらす
Station machen	滞在する
an seiner Stelle [*anstelleと書かれることもある]	...のかわりに
an Stelle ...2/von...3 [*anstelleと書かれることもある]	...のかわりに
gegen... Stellung nehmen/beziehen	...に反対する
im Sterben liegen	死に瀕している
... im Stich lassen	...を見捨てる
stichhaltig sein	（主張などの）根拠がしっかりしている
in Stimmung sein	楽しい気分である
auf... stolz sein	...を誇りにしている
auf offener Straße	公衆の面前で
gegen den Strom schwimmen	大勢に逆らう
Stück für Stück	一つ一つ、少しずつ
von Tag zu Tag	一日ごとに
Tag für Tag	来る日も来る日も
Tag und Nacht	昼夜
in der Tat	事実、本当に
zum Teil	部分的に
ein gut Teil	かなりの量
teils..., teils...	一部は..., 一部は...
... unter den Teppich kehren	...を隠す、うやむやにする
zu Tode	死ぬほど、ひどく
mit...3 nichts zu tun haben	...3とは何の関わりもない
mit...3 viel zu tun haben	...3大いに関わりがある
überhaupt nicht	まったく...ない
für... viel übrig/haben [*関心に応じてvielのかわりにetwas/nichtを用いる]	...に大いに関心がある
im Übrigen	その他の点では
um... herum [*herumは前置詞umを強める副詞]	...の周りに、...のあたり
unter keinen Umstuanden	どんなことがあっても決して...ない
nach außen sickern	外部に漏れる(s)
unter Umständen [略：u.U.]	事情によっては
und zwar	しかも、詳しく言えば
zu/mit Unrecht	不当に
im Unterschied zu...3	...3とは違って
ohne Unterschied	区別なく
sich4 mit...3 in Verbindung setzen	...3と連絡を取る
...3 ... zur Verfügung stellen	...3に...を自由に使用させる
...3 zir Verfügung stehen	...3にとって自由に使えるようになっている
... zur Verfügung haben	...を自由に使用出来る
im Vergleich zu...3/mit...3	...3と比較して
...3 Vergnügen bereiten [*breitenのかわりにmachenが用いられることもある]	...3を楽しませる
... in Verlegenheit bringen	...を当惑させる、困らせる
verloren gehen	なくなる、失われる
... zur Vernunft bringen	...に理性を取り戻させる、...を正気に帰らせる
im Vertrauen auf...	...を信用して、...をあてにして
... in Verwirrung bringen	...を慌てさせる
vor sich hin	ひとりで、ぼんやりと
im Voraus [*スイスではzum Vorausも用いる]	あらかじめ、前もって
Wache stehen	見張りに立っている
mit...3 warm werden	...3と親しくなる
was für ein	どんな...、どんな種類の...
ins Wasser fallen	ふいになる、水の穴となる
weder... noch...	...でもなく...でもない
...3 aus dem Weg gehen	...3を避ける
seinen [eigenen] Weg/ seine eigenen Wege gehen	我が道を行く
eine Weile	しばらくの間
nach einer Weile	しばらくしてから
in keiner Weise/ in keinster Weise	まったく...でない
bei Weitem [*比較級の協調には一般にnochやweitが用いられるが、より高い程度を表す]	はるかに、ずっと
weit und breit	いたるところで
es weit bringen [*esは形式目的語]	成功する、出世する
ohne Weiteres	簡単に、何の問題もなく
in aller Welt	いったいぜんたい
zur Welt kommen	生まれる
ein wenig	少し
am Werk sein	働いている
ans Werk gehen/sich 4 ans Werk machen	仕事に取り掛かる
... ins Werk setzen	...を実行に移す
auf... Wert legen	...を重要視する
immer wieder	再三再四
nie wieder	二度と再び...しない
Wind von...3 bekommen	...3を嗅ぎつける
... in den Wind schlagen	...を馬耳東風と聞き流す
in Wirklichkeit	本当は、実際は
von...3 nichts wissen wollen	...3に関わりたくない
meines Wissens [m.W.と略されることもある]	私の知る限りでは
nach bestem Wissen und Gewissen	誠心誠意
wohl oder übel	否応無しに、良かれ悪しかれ
aus allen Wolken fallen	びっくり仰天する
...3 das Wort/den Mund verbieten	...3に発言を禁じる、...3の口を封じる
...3 nicht das Wort/nicht den Mund verbieten	...3に発言を禁じさせない、...3の口を封じさせない
...3 auf den Zahn fühlen	...3の真意を探り出す
...3 den Zahn ziehen	...3の甘い期待を打ち砕く
die Zähne zusammenbeißen	苦痛などに耐える
Zeit haben	時間がある
zu..., als dass...	あまりに...すぎて...ない
durch Zufall/aus Zufall	偶然に
... zufriedenstellen	...を満足させる
...3 ... zugutehalten	...3のために...の事情を考慮してやる
...3 ... zukommen lassen	...3に...を送る、...3に...を与える
in Zukunft	今後は、将来は
...3 ... zuleide tun	...3に悪いことをする、危害を加える
nicht zuletzt	特に、とりわけ
... zunichtemachen	...をだめにする
zunichteweden	だめになる
zurzeit	目下のところ
mit der Zeit	時とともに
von Zeit zu Zeit	ときどき、ときおり
im Zusammenhang mit...3	...3と関連して
... zustande bringen	...を成し遂げる
zustande kommen	成し遂げられる
... zutage bringen [*bringenのかわりにfördernが用いられることもある]	...を明らかにする
sich 4 als... eignen	...としてふさわしい
auf dem Rückweg nach ...	...へ帰る途中で
