英語,日本語
I look up a word,単語を調べる
I put away my things,物を片付ける
I throw away trash,ゴミを捨てる
I call back later,後で折り返し電話する
I ask a favor,お願いをする
I take a deep breath,深呼吸する
I make a choice,選択をする
I have a headache,頭が痛い
I am in a good mood,機嫌が良い
It is time to V,〜する時間だ
It is easy to V,〜するのは簡単だ
It is important to V,〜することは重要だ
It is necessary to V,〜することは必要だ
It is possible to V,〜することは可能だ
It is a pity that ...,〜なのは残念だ
It sounds familiar,聞き覚えがある
It looks like rain,雨が降りそうだ
It takes a long time,長い時間がかかる
It is dangerous to V,〜するのは危険だ
It is helpful to V,〜するのは役に立つ
It costs a lot of money,たくさんのお金がかかる
It seems easy,簡単そうに見える
It turns out well,うまくいく
It makes a difference,違いを生む / 影響がある
I drop by a store,店に立ち寄る
I check out a book,本を借りる / チェックする
I cross my fingers,幸運を祈る
I keep my cool,冷静さを保つ
I make up a story,話をでっちあげる / 作り話をする
I set an alarm,アラームをセットする
I stay in shape,体型・健康を維持する
I do the dishes,食器を洗う
I do the laundry,洗濯をする
I make the bed,ベッドを整える
I change my plans,予定を変更する
I keep quiet,静かにしている
I pay in advance,前払いする
I share an opinion,意見を共有する
I clear my mind,頭をすっきりさせる
I set a goal,目標を設定する
I reach a goal,目標を達成する
I solve a problem,問題を解決する
I express my feelings,感情を表現する
I take a risk,危険を冒す / リスクをとる
I lose my way,道に迷う
I lose my temper,腹を立てる / キレる
I keep my balance,バランスを保つ
I make a suggestion,提案をする
I make room for ...,〜のために場所をあける
I do a favor,親切にする / お願いを聞く
I take a rain check,またの機会にする
I take turns,交代でやる
I keep an eye out for ...,〜を見張る / 気をつけて探す
I take a break from V-ing,〜をお休みする
I am used to this,これに慣れている
I am proud of myself,自分を誇りに思う
I am excited about ...,〜にワクワクしている
I am worried about ...,〜を心配している
I am sick of ...,〜にうんざりしている
It is my turn,私の番だ
It is a good idea to V,〜するのは良い考えだ
It is common to V,〜するのはよくあることだ
It is unusual to V,〜するのは珍しい
It is hard to believe that ...,〜とは信じがたい
It is better than nothing,無いよりはマシだ
It is none of my business,私には関係ない / 余計なお世話だ
It is a waste of time,時間の無駄だ
It is a matter of time,時間の問題だ
It is open to the public,一般に公開されている
It is out of order,故障している
It is up in the air,まだ決まっていない
It comes in handy,重宝する / 役に立つ
It catches my eye,目を引く / 気になる
It takes patience,忍耐が必要だ
It goes without saying that ...,〜なのは言うまでもない
It crosses my mind that ...,〜ということが頭をよぎる
It happens all the time,よくあることだ
It makes a big difference,大きな違いを生む
It is worth a try,試してみる価値がある
I can't wait to V,〜するのが待ちきれない
I can't afford to V,〜する（お金や時間などの）余裕がない
I can't help V-ing,つい〜せずにはいられない
I am on my way,向かっている途中だ
I am running late,遅れそうだ / 遅れている
I am broke,金欠だ / お金がない
I am starving,お腹がすいて死にそうだ
I am stuck in traffic,渋滞に巻き込まれている
I am off to ...,〜へ出かける
I have a lot in common with ...,〜と共通点が多い
I have a hard time V-ing,〜するのにとても苦労する
I have second thoughts,考え直す / 再考する
I have nothing to do with ...,〜とは何の関係もない
I don't mind V-ing,〜してもかまわない / 気にしない
I don't feel like V-ing,〜したい気分じゃない
I can't stand ...,〜に耐えられない / 大嫌いだ
I make a point of V-ing,〜するように心掛けている
I take it for granted that ...,〜を当然のことと思う
I am sick and tired of ...,〜に心底うんざりしている
I am out of shape,運動不足だ / 体力がない
I get the feeling that ...,〜という気がする
I take your word for it,あなたの言うことを信じる
I take back what I said,前言を撤回する
I look up to ...,〜を尊敬する
I look down on ...,〜を見下す
I run into an old friend,古くからの友人に偶然会う
I pay for the dinner,夕食代を払う / おごる
I keep in mind that ...,〜ということを心に留めておく
I am looking forward to it,楽しみにしている
I am used to doing this,これをやることには慣れている
It rings a bell,ピンとくる / 聞き覚えがある
It sounds like a plan,それでいこう / いいね
It works for me,（都合や条件が）それで大丈夫だ
It drives me crazy,私をイライラさせる / 狂わせる
It takes a toll on ...,〜に大きな負担・悪影響を与える
It comes to mind,頭に浮かぶ
It takes two to tango,お互い様だ / どちらにも責任がある
It goes wrong,上手くいかない / 狂う
It is up for debate,議論の余地がある / まだ決まっていない
It turns out OK,最終的になんとかなる
It beats me,全然わからない / お手上げだ
It pays off,報われる / 努力が実を結ぶ
It hurts my feelings,傷つく / 感情を害する
It slips my mind,うっかり忘れる
It makes no sense,全く意味がわからない / 筋が通っていない
It depends on how you look at it,見方による
It costs an arm and a leg,とてつもなく高い
It is a piece of cake,朝飯前だ / とても簡単だ
It is too good to be true,話が上手すぎる / 夢のようだ
It makes a big difference,大きな違いを生む
To be honest,正直に言うと
To tell you the truth,実を言うと
As far as I know,私が知る限りでは
As far as I'm concerned,私の考えでは / 私としては
Speaking of which,そう言えば / それで思い出したけど
Come to think of it,考えてみたら / そういえば
Long story short,手短に言うと / かいつまんで言うと
Believe it or not,信じられないかもしれないが
Frankly speaking,率直に言えば
Strictly speaking,厳密に言えば
Generally speaking,一般的に言って
In my opinion,私の考えでは
From my point of view,私の見解では / 私の視点から言えば
As a matter of fact,実際のところ / 実は
On top of that,その上 / おまけに
Other than that,それ以外は
In other words,つまり / 言い換えると
Just in case,万が一のために / 念のため
Either way,どちらにしても
In any case,いずれにせよ / とにかく
On second thought,やっぱり / 考え直してみると
For some reason,なぜか / どういうわけか
Without a doubt,間違いなく / 疑いなく
If I remember correctly,私の記憶が正しければ
As expected,予想通り / やっぱり
All of a sudden,突然 / 不意に
Out of the blue,予告なしに / 唐突に
In the meantime,その間に
For the time being,当面の間 / 当分は
More or less,多かれ少なかれ / だいたい
Every now and then,時々 / たまに
From time to time,時々 / 折りに触れて
Once in a while,たまに
To make matters worse,さらに悪いことには
To begin with,まず第一に / そもそも
In the first place,そもそも / 最初から
So to speak,いわば / 言ってみれば
Needless to say,言うまでもなく
Off the top of my head,パッと思い浮かぶ限りでは
At first glance,一見したところ
As for me,私としては
In a way,ある意味では
For instance,例えば
"No offense, but ...",悪気はないんだけど〜
To sum up,要約すると / まとめると
Judging by ...,〜から判断すると
On the condition that ...,〜という条件で
In the same way,同じように
Contrary to ...,〜に反して / 〜とは違って
Up to a point,ある程度までは
in spite of ...,〜にもかかわらず
instead of ...,〜の代わりに
in terms of ...,〜の点において
in addition to ...,〜に加えて
in case of ...,〜の場合には
regardless of ...,〜に関係なく
prior to ...,〜より前に
on behalf of ...,〜を代表して
in contrast to ...,〜とは対照的に
with respect to ...,〜に関して
in comparison with ...,〜と比較して
in favor of ...,〜に賛成して
for the sake of ...,〜のために
at the expense of ...,〜を犠牲にして
in response to ...,〜に応えて / 〜に対応して
on the basis of ...,〜に基づいて
in relation to ...,〜に関連して
in place of ...,〜の代わりに
in view of ...,〜を考慮して
by means of ...,〜によって / 〜を用いて
in advance,前もって / あらかじめ
ahead of time,予定より早く / 事前に
on a daily basis,日常的に / 毎日
at the same time,同時に
in no time,あっという間に / すぐに
at short notice,急な知らせで / 直前になって
by the time ...,〜する時までに
all at once,一斉に / 突然
over and over,何度も何度も
day after day,来る日も来る日も
from day one,最初から / 初日から
up to now,今までのところ
so far,今のところ
around the clock,24時間ぶっ通しで
every other day,一日おきに
in a row,連続で
for the first time,初めて
for a change,気分転換に
at times,時々
in the long run,長い目で見れば
in the short term,短期的に見れば
as of now,今のところ / 現時点で
at a glance,ひと目で
at all costs,どんな犠牲を払っても
in detail,詳しく / 詳細に
by all means,ぜひとも / どうぞ
by no means,決して〜ない
under no circumstances,どんな状況でも絶対に〜ない
to some extent,ある程度までは
for the most part,大部分は / たいていは
